　　　　,出生人數(人),,,,,,,,,,,,,,,,,,,,,
??　　　　,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
84年 9月,"4,009","2,660","2,075","3,076","2,175","3,182",627,639,808,"1,737",767,"1,072",826,"1,316",345,490,113,430,453,269,67,9
84年 10月,"4,210","2,791","2,238","3,129","2,174","3,230",673,620,808,"1,675",761,"1,034",772,"1,298",358,491,112,448,440,323,51,6
84年 11月,"4,919","3,324","2,633","3,498","2,399","3,666",659,709,908,"1,950",880,"1,257",912,"1,348",373,526,146,552,550,372,55,5
84年 12月,"4,468","3,261","2,318","3,241","2,293","3,316",711,638,778,"1,896",796,"1,167",829,"1,227",357,487,99,467,478,317,67,7
85年 1月,"4,379","3,145","2,283","3,323","2,238","3,259",700,654,797,"1,875",806,"1,079",793,"1,374",364,553,100,486,500,349,56,6
85年 2月,"3,330","2,480","1,766","2,615","1,858","2,795",523,555,683,"1,487",661,905,697,"1,040",286,386,88,394,387,265,44,5
85年 3月,"3,994","2,759","2,125","2,965","2,021","2,892",583,598,697,"1,613",720,997,769,"1,149",325,433,93,472,456,290,54,4
85年 4月,"3,927","2,849","2,148","3,116","2,001","3,052",623,662,737,"1,700",695,"1,072",798,"1,173",353,463,89,483,439,326,49,8
85年 5月,"3,882","2,814","2,124","2,975","2,041","3,009",652,630,757,"1,634",731,995,726,"1,158",320,460,90,451,438,298,37,8
85年 6月,"3,597","2,591","1,965","2,747","1,882","2,764",578,544,708,"1,547",631,883,685,"1,078",286,380,76,386,421,256,44,7
85年 7月,"3,864","2,716","2,103","3,030","1,995","2,990",619,627,757,"1,686",726,961,753,"1,177",332,491,91,493,459,305,53,5
85年 8月,"4,189","2,858","2,308","3,224","2,125","3,342",668,675,819,"1,867",778,"1,103",791,"1,250",349,523,102,442,504,335,60,8
