學年度,學校代碼,學校名稱,類別,等級別,國別代碼,國別名稱,科系代碼,科系名稱,學生總計,男學生,女學生,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,上學年畢業生總計,上學年度男畢業生,上學年度女畢業生
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,140101,教育學系, 2 , 1 , 1 , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,220307,英國語文學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,220324,韓國語文學系, 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,310101,經濟學系, 1 , - , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,310811,地政學系, 3 , 1 , 2 , - , 1 , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,340301,企業管理學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,340504,財務管理學系, 1 , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,340701,財政學系, 1 , - , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,480109,資訊管理學系, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 
105,0001,國立政治大學,A 僑生,B 學士(四年),005,緬甸,520116,資訊科學系, 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
