學校代碼,學校名稱,等級別,等級名稱,日夜別,日夜別名稱,群別代碼,群別名稱,科系代碼,科系名稱,一年級班級數,二年級班級數,三年級班級數,四年級班級數,一年級男學生數,一年級女學生數,二年級男學生數,二年級女學生數,三年級男學生數,三年級女學生數,四年級男學生數,四年級女學生數,延修生男學生數,延修生女學生數,上學年畢業生數男,上學年畢業生數女
10301,國立華僑高級中等學校,H,普通科,D,日間部,11,學術群,105,體育班,1,1,1,0,11,13,13,7,10,7,0,0,0,0,14,6
10301,國立華僑高級中等學校,J,附設國中部,D,日間部,,,0,國中部,1,1,1,0,4,5,5,11,9,12,0,0,0,0,13,14
10301,國立華僑高級中等學校,M,綜合高中,D,日間部,11,學術群,109,學術社會、學術自然,15,14,14,0,235,292,212,273,208,269,0,0,0,0,229,256
10301,國立華僑高級中等學校,M,綜合高中,D,日間部,26,商業與管理群,F01,資訊應用,0,0,1,0,0,0,5,0,6,6,0,0,0,0,2,3
10301,國立華僑高級中等學校,M,綜合高中,D,日間部,27,外語群,X11,應用英語,0,1,0,0,0,0,11,10,3,5,0,0,0,0,6,14
11301,私立淡江高中, ,普通科,D,日間部,11,學術群,102,音樂班,1,1,1,0,7,12,8,7,8,17,0,0,0,0,10,20
11301,私立淡江高中,H,普通科,D,日間部,11,學術群,103,美術班,1,1,1,0,7,12,15,14,10,17,0,0,0,0,10,21
11301,私立淡江高中,J,附設國中部,D,日間部,,,0,國中部,8,8,7,0,179,145,193,137,155,139,0,0,0,0,166,95
11301,私立淡江高中,M,綜合高中,D,日間部,11,學術群,109,學術社會、學術自然,10,5,6,0,253,244,128,168,122,133,0,0,0,0,141,151
11301,私立淡江高中,M,綜合高中,D,日間部,26,商業與管理群,F01,資訊應用,0,1,1,0,0,0,28,3,11,9,0,0,0,0,37,5
11301,私立淡江高中,M,綜合高中,D,日間部,26,商業與管理群,F05,商業經營,0,1,1,0,0,0,16,19,24,4,0,0,0,0,20,18
11301,私立淡江高中,M,綜合高中,D,日間部,31,家政群,H08,幼兒保育,0,1,1,0,0,0,4,17,2,11,0,0,0,0,4,10
11301,私立淡江高中,M,綜合高中,D,日間部,28,設計群,V03,美工,0,1,1,0,0,0,14,18,8,9,0,0,0,0,12,21
11301,私立淡江高中,M,綜合高中,D,日間部,27,外語群,X02,應用日語,0,1,1,0,0,0,21,31,18,25,0,0,0,0,16,32
11301,私立淡江高中,M,綜合高中,D,日間部,27,外語群,X11,應用英語,0,1,1,0,0,0,5,11,9,18,0,0,0,0,17,25
11302,私立康橋高中,H,普通科,D,日間部,11,學術群,101,普通科,6,6,6,0,118,152,137,131,140,113,0,0,0,0,115,106
11302,私立康橋高中,J,附設國中部,D,日間部,,,0,國中部,8,8,8,0,179,144,182,147,168,147,0,0,0,0,164,167
11306,私立金陵女中,H,普通科,D,日間部,11,學術群,101,普通科,8,8,8,0,0,373,0,354,0,365,0,0,0,0,0,298
11306,私立金陵女中,J,附設國中部,D,日間部,,,0,國中部,9,9,9,0,0,415,0,405,0,372,0,0,0,0,0,432
11307,新北市私立裕德實驗高級中學,H,普通科,D,日間部,11,學術群,101,普通科,2,1,0,0,20,17,8,8,0,0,0,0,0,0,0,0
